movie_id,cast,crew
19,"['Nicholas Williams', 'Sandra Graham', 'David Chapman', 'Danielle Palmer', 'Glenn Crane', 'James Elliott', 'Joshua Blake', 'Margaret Gonzalez', 'Thomas English', 'Robert Rogers', 'Danielle Morales', 'Michael Wheeler', 'Connor Grimes', 'Megan Walker']","['Rhonda Avery', 'Daniel Thompson', 'Julie Valencia', 'Bradley Webb', 'Michelle Chapman', 'Michael Hall', 'Anna Haney', 'Brenda Gray', 'Michael Carpenter', 'Shawn Fowler', 'Kenneth West', 'Edward Manning']"
20,"['Jordan Anderson', 'Steven Johnson', 'Vanessa Ramos', 'Jonathan Wood', 'Kyle Santos', 'Michelle Martinez', 'Kelly Wilson', 'Brian Sutton', 'Erica Smith', 'Melissa Schmidt']","['Cynthia Ibarra', 'Tammy Henderson', 'Jennifer Beck', 'Laura Michael', 'Kim Chandler', 'William Mann', 'Andrew Brady', 'Jasmine Payne', 'Christine Lewis', 'Elizabeth Sanders', 'Joseph Campbell']"
21,"['Angela Guerrero', 'Timothy George', 'Kevin Huff', 'Robert Miller', 'Timothy Clark', 'Tina Snyder', 'Jason Tyler', 'Amy Dunn']","['James Russell', 'Alexis Lucas', 'Shannon Butler', 'Mrs. Sara Kirk', 'Ronald Lee', 'Megan Banks', 'Katherine Garcia', 'Stephen Jordan', 'George Fuentes', 'Gabrielle Hunt', 'Ashley Herrera', 'Stephanie Parker', 'Jessica Ramirez']"
22,"['Gregory Jones', 'Kevin Lopez', 'Jonathan Mcconnell', 'Stacey Hernandez', 'Lisa Sexton']","['John Lang', 'Javier Blair', 'Sarah Wong', 'Lisa Perez', 'Anne Blake', 'Melinda Estrada', 'Tammy Gardner', 'Edward Weaver', 'Brian Davis']"
23,"['Brian Guzman', 'Carl Taylor', 'Adrienne Guzman', 'Heather Anderson', 'Jasmine Ho', 'Stacie Horne', 'Karen Silva', 'Jeff Gentry', 'Emily Wilson', 'Ricky Wright MD', 'Richard Hall', 'Lisa Thomas', 'Stephen Rhodes', 'Lisa Brewer']","['Jeffrey Raymond', 'Stephanie Sanders', 'Elizabeth Williams', 'Zachary Wilson', 'Christina Johnson', 'William Bennett PhD', 'Zachary Martin', 'Leslie Romero', 'Jo Beck', 'Dr. Ross Lopez', 'Robert Peters']"
24,"['Donald Jones', 'Daniel Collins', 'James Cannon', 'Charles Hendricks', 'Manuel Carr', 'James Griffin']","['Christopher Martin', 'Jose Carpenter', 'Katherine Bush', 'Jordan Barnes DDS', 'James Wood', 'Martin Ramirez', 'Courtney Adkins', 'Mrs. Ebony Gonzales MD', 'Patrick Spencer', 'Joseph Daugherty', 'Brandy Simon']"
25,"['Timothy Patel', 'Nicole Ellis', 'Allison Morales', 'Willie Peterson', 'James Ross', 'Pamela Holland', 'Tracy Vincent', 'Alvin Ramsey', 'Jennifer Hayes', 'Lisa Thomas', 'Christopher Keller MD']","['Luis Gregory', 'Wyatt Johnson', 'Jason Patel', 'Ashley Jacobs', 'Thomas Browning', 'Jesus Schneider', 'Jamie Ortiz', 'Andrea Haley', 'Nancy Wolfe', 'Virginia Evans', 'Angela Lozano', 'Karl Zuniga']"
26,"['Gregory Benson', 'Jonathan Mccullough', 'Megan Garza', 'Carl Carter', 'Paula Pittman', 'Billy Meadows', 'Victoria Sanchez', 'Julia Jenkins', 'John Sims', 'Melissa Tran']","['Annette Williamson', 'Ricky Holland', 'Ruth Berg', 'Mark Reid', 'Joel Knight', 'Randy Burns', 'Jeffrey Taylor', 'Amanda Hall', 'Luis Martinez', 'Tiffany Dominguez', 'Jennifer Baker']"
27,"['Nicole Howell', 'Adam Martinez', 'Jennifer Duncan', 'Nicole Gallagher', 'Phillip Lucero', 'Ashley Moody', 'Russell Jacobs']","['Kelly Jacobs', 'Misty Stevenson', 'Alan Yates', 'Cheryl Richardson', 'Sharon Thomas', 'Christopher Graham']"
28,"['Ariana Lopez', 'Monique Lane', 'Michele Torres', 'Audrey Wright PhD', 'Ryan Williams']","['David Barker', 'Christopher Davies', 'Joy Smith', 'Dylan Ho', 'Jeremy Powell', 'Cassandra Martin', 'Jonathan Hunt', 'Philip Phelps', 'Kevin Simpson MD', 'Nathan Cardenas', 'Audrey Bender', 'Stacey Snow', 'Robert Bird']"
29,"['Christopher James', 'Brian Davis', 'Melissa Fowler', 'Dominique Greer', 'Elizabeth Rodriguez', 'John Chambers', 'Judy Jimenez', 'Roy Mathis', 'Daisy Hernandez', 'Lauren Bridges', 'Justin Burke', 'James May', 'John Wilson', 'Derek Reed']","['Michael Garrett', 'Teresa Young', 'Victoria Garcia', 'Christopher Rodriguez', 'Jessica Watson', 'Jared Davis', 'Robin Wolfe', 'Thomas Perez', 'Holly Gonzalez', 'Gregory Johnson', 'James King', 'Richard Smith', 'John Dixon', 'Sarah Hall', 'Matthew Haley']"
30,"['Glenn Shepard', 'Karen Rodriguez', 'Charles Nunez', 'Gregory Lee', 'Timothy George', 'Amy Gill', 'William Petty', 'David Rios', 'Joshua Sweeney']","['Matthew Gonzales', 'Brenda Taylor', 'Robert Walker', 'Stephanie Payne', 'Heidi Bailey', 'Nicole Chavez']"
31,"['Raven Rodriguez', 'Mary Murphy', 'David Mendez', 'Doris Hall', 'Jose Chan', 'Michael Keller', 'Michael Arnold', 'Christian Davis', 'Ashley Reyes']","['Jeanne Cook', 'Angela Brown', 'Laurie Lambert', 'Carla Macias', 'Rebecca Santana', 'Alan Stewart', 'Katrina Gould', 'Jacob Gross', 'Megan Wolfe', 'Mr. Martin Martinez', 'Allison Ruiz', 'Amy Sanchez']"
32,"['John Farmer', 'Sonya Kelly', 'Robert White', 'Zachary Cohen', 'Ashley Castro', 'Angela Fletcher', 'Billy Chase', 'Tracy Jones', 'Danielle Miller', 'Amber Gonzalez', 'Alicia Tate', 'Steven Sutton', 'Heather Myers', 'Andrew Randall']","['Andrew Young', 'Michael Hogan', 'Elizabeth Harrison', 'Cheyenne Rodriguez', 'Michael Morris', 'Christine Cervantes', 'Joseph Ray', 'Carolyn Park', 'William Hill', 'Mary Brooks', 'Lisa Kramer', 'Brian Jackson', 'Mrs. Kara Shepherd', 'Ashley Baker']"
33,"['Rodney Rose', 'Jose Hernandez', 'Michael Kirby', 'Carla Clark', 'David Zimmerman']","['Jessica Reyes', 'Charles Sullivan', 'Alex Gibson', 'Olivia Rodriguez', 'Lisa Mueller', 'James Ali', 'Megan Richmond', 'Courtney Anderson', 'Laura Burke', 'Nathaniel Hernandez', 'Melissa Chavez', 'Anthony Smith', 'Chad Hurley', 'Isaac Gutierrez', 'Jessica Bell']"
34,"['Jay Johnson DDS', 'Michele Hernandez', 'Michael Gray', 'Andrea Wright', 'Destiny Gordon', 'Jeffrey Cox', 'Phillip Ross', 'Tiffany Williams', 'David Baker']","['Bryan Watkins', 'Stephanie Williams', 'Craig Mcgee', 'James Paul', 'Gerald Lee', 'Leslie Norman', 'Elizabeth Morrison', 'Spencer Jackson', 'Carol Jones']"
35,"['Shannon Jimenez', 'Carlos Bailey', 'Todd Ward', 'James Irwin', 'Kathy Noble', 'Andrew Foster', 'Rodney Middleton', 'Tyler Anderson', 'Heather Frederick', 'Debra Moore', 'Todd Davis', 'Tonya Allen', 'Robert Schneider']","['Dawn Molina', 'Gregory Johnson', 'Luke Herman', 'Lisa Carter', 'Melissa Cobb', 'Nicholas Campbell', 'Kayla Guzman', 'Erica Shelton', 'Colleen Jackson', 'Kelli Ray', 'James Miller', 'David Martin', 'Sarah Smith', 'Timothy Adams']"
36,"['Anna Norton', 'Jonathan Williams', 'Michael Espinoza', 'Michael Howard', 'Sarah Burns', 'Felicia Garcia', 'Dean Smith', 'Daniel Mckenzie', 'Gregory Hardin', 'Sharon Stewart', 'Amanda Evans', 'Michelle Sharp', 'Pamela Ramirez']","['Mackenzie Ferguson', 'Vanessa Green', 'Karen Watson', 'Kyle Atkinson', 'Hunter Obrien']"
37,"['Frank Douglas', 'Daniel Rose', 'Cody Young', 'Andrew Watkins', 'Robert Gibson', 'Megan Potts', 'Juan Rodriguez', 'Frank Kramer', 'Jack Tucker']","['Sarah Drake', 'Jennifer Padilla', 'Kelly Gonzalez', 'Kayla Bailey', 'Emily White', 'Ellen Huerta MD', 'Nancy Black', 'Christian Webster', 'Dr. Tamara Lyons DVM']"
38,"['Richard Hampton', 'Dean Schultz', 'Anthony Ruiz', 'Rachel Dean', 'Julie Stephenson']","['Benjamin Hill', 'Donna Kelly', 'Alicia Velez', 'Jeffrey Bradshaw', 'Mr. Michael Williams', 'Monica Barron', 'Philip Heath', 'James Munoz', 'Donna Clark', 'Suzanne Miller', 'Angela Alexander', 'Nicole Gutierrez', 'Douglas Proctor', 'Angela Wise', 'Cindy Barnes']"
39,"['Brian Mcdowell', 'Brandon Cox', 'Margaret Cross', 'Becky Wood', 'Katie Ford', 'Taylor King', 'Kevin Ross', 'Cynthia Chandler', 'Laura Riggs', 'Lauren Stevens', 'Sheila Hess', 'Ryan Holmes', 'Gina Haney']","['Emily Simon', 'Diana Carter', 'Tyler Davidson', 'Amanda Tucker', 'Nicholas Brown', 'Jacob Gibson', 'Terry Sanchez', 'Jennifer Hodge', 'Brandon Ward']"
40,"['Aaron Hartman', 'Erica Rice', 'Dustin White', 'Kristina Dixon', 'Brenda Perez', 'Christine Conway', 'Holly Vazquez', 'Angela Anderson', 'Julie Gordon']","['David Hughes', 'Cindy Mcdaniel', 'Jennifer Rodriguez', 'Jonathan Lewis', 'Fred Hill', 'Sharon Webb', 'Jason Washington', 'Sandra Gomez', 'Amanda Hart']"
41,"['Jody Skinner', 'Andrea Anderson', 'Joshua Wilson', 'Dr. Bobby Johnson DVM', 'Justin King', 'Kimberly Rodriguez', 'Megan Oliver', 'Stephanie Garcia']","['Samuel Mcknight', 'Adam Gardner', 'Olivia Mendez', 'Steve Poole', 'Brad Bell', 'Paige Gibbs', 'Martin Miranda', 'Melanie Miller', 'Mitchell Hunter']"
42,"['Michael Wade', 'Jennifer Brown', 'Holly Johnson', 'Matthew Wilson', 'Mr. Jeffrey Johnson PhD', 'Angela Harris', 'Scott Burnett', 'Sarah Garner', 'Dr. Michael Clark', 'David Waters', 'Amanda Le', 'Deborah Coleman']","['Nathan Bridges', 'Ashley Williams', 'Whitney Guzman', 'Robert Wilson', 'Ariana Curtis', 'Heather Pearson', 'Brianna Gonzales', 'Jessica Calhoun MD']"
43,"['Jessica Short', 'Robert Thompson', 'Amy Williams', 'Cory Stokes', 'Michael Nelson', 'Joshua Kelley', 'Brandon Mitchell', 'Ariel Ballard', 'Susan Barr']","['Joshua Phillips', 'Brittney Griffith', 'Jerry Collins', 'Travis Carpenter DDS', 'Jacob Miller', 'Chad Petty', 'Melissa Bishop']"
44,"['Ryan Harper', 'Bryan Burke', 'Tracey Rodriguez', 'Kimberly Wilson', 'Cody Webster', 'Kristie Swanson', 'Hannah Ramirez', 'Kelly Odom', 'Natalie Green MD', 'Michael Eaton', 'Bryan Bowers']","['Rachel Jones', 'Christina Brown', 'William Trujillo', 'Calvin Meyer', 'Michael Hoover', 'Kathryn Garrett', 'Tracy Jacobson', 'Kimberly Peters', 'Zachary Lawson', 'Stephanie Fernandez', 'Edward Cline', 'Casey Garcia']"
45,"['Richard Lewis', 'Lynn Reynolds', 'Christopher Hunter', 'Alicia Rasmussen', 'Eric Boyd', 'James Young', 'Dylan Stewart', 'Joseph Martinez', 'Vanessa Schmitt', 'Nicole Cervantes', 'Lynn Barnett']","['Chase Parker', 'Ryan House MD', 'David Deleon', 'Emily Haynes', 'Richard Conner', 'Jeffrey Jackson', 'Deborah Madden', 'Michael Welch', 'Zachary Thompson PhD']"
46,"['Raven Saunders', 'Julie Taylor', 'James Golden', 'Thomas Pham', 'Justin Warren', 'Kara Mayer', 'Louis Ballard', 'Gregory Nelson', 'Tanya Chan']","['Lisa Mcneil', 'Christine Garcia', 'James Brown', 'Cody Kennedy', 'Jason Deleon']"
47,"['Alexander Hammond', 'Laura Mcpherson', 'Brenda Smith MD', 'Jonathan Bishop', 'Jake Serrano', 'Mary King', 'David Myers', 'Amy Parsons', 'Robert Cruz', 'Anthony Scott', 'Frank Nichols', 'Diane King', 'Debra Rodriguez']","['Dalton Smith', 'Rhonda Jones', 'Abigail Carey', 'Thomas Foster', 'Tracy Leblanc', 'Mr. Paul Arnold']"
48,"['Richard West', 'Scott Martin', 'Jacob Dodson', 'Nichole Kelley', 'Sharon Rodriguez', 'Dorothy Fox', 'Sarah Mendez', 'Craig Green', 'Donald Warren', 'Jessica Harris', 'Steven Powers']","['Elizabeth Kirk', 'Kayla Baker', 'Leslie Juarez', 'Elizabeth Jackson', 'Jacob Palmer', 'Megan Scott', 'Michelle Cunningham', 'Brittany Gregory', 'Helen Jones', 'Alicia Russell']"
49,"['Billy Webb', 'Richard Daniels', 'Erik Stewart', 'Frances Austin', 'Janice Ramsey', 'Tricia Moss', 'Alexandra Garrett', 'Cynthia Martin', 'Belinda Murray', 'Ana Clark', 'Ann Lewis', 'Alexandra Torres', 'Chelsea Mcmillan', 'Jose Martin', 'Brittany Parker']","['James Barnes', 'Dr. Jonathan Thompson', 'Beth Contreras', 'Audrey Lee', 'Nathaniel Vazquez', 'William Jennings', 'Mary Wright', 'Jeremy Walker', 'Allison Jordan', 'Amy Wilson', 'John Wade']"
50,"['Lindsey Grant', 'Tamara Vasquez', 'Ashley Dixon', 'Stephanie Smith', 'Tony Schmidt']","['Frank Kline', 'Anna Crawford', 'Alexander Gonzalez', 'Diane Hoffman', 'Lauren Medina', 'Jennifer Thomas', 'David Ochoa', 'Chad Wilson', 'Paul Gibbs', 'Cody Jackson']"
51,"['Courtney Peters', 'Lauren Moore DDS', 'Dr. Jon Everett Jr.', 'Mark Lee', 'Johnny Mitchell', 'Rachael Porter', 'Timothy Davis', 'David Gilbert', 'David Rogers']","['Jesse Jenkins', 'Isaac Curtis', 'Sarah Peterson', 'Sarah Bell', 'Barbara Mason', 'Sheri Andrews', 'Christine Moses', 'Erica Andersen', 'Thomas Anderson', 'Michael Perez', 'Jennifer Charles', 'Daniel Sanchez', 'Colleen Brown', 'Alan Malone']"
52,"['Vanessa Myers', 'David Haney DDS', 'Mark Jones', 'Michael Anderson', 'Mary Lawrence', 'Diana Brown', 'Jonathon Rodriguez', 'Anthony Munoz', 'Brenda Abbott']","['Larry Villanueva', 'Joseph Simmons', 'Nicholas Campos', 'Nathan Thompson', 'Ana Hubbard', 'Spencer Barron', 'Claudia Glass', 'Miss Maria Russell', 'Jennifer Wilson', 'Jacqueline Hill', 'Damon Cole', 'Brianna Thompson']"
53,"['Marc Bauer', 'Cheryl Phillips', 'Catherine Mata', 'Christine Shaffer', 'Anna Blankenship', 'Lisa Peterson', 'Jill Santana', 'Miss Veronica Garcia']","['Valerie Wilson', 'Timothy Harvey', 'Cassandra Robinson', 'Penny Kane', 'Laura Brown', 'Angela Powell']"
54,"['Christine Orozco', 'Kaitlyn Browning', 'Adam Cruz', 'Dale Khan', 'Michael Colon', 'Angela Hanson', 'Paula Rodriguez', 'Charles Robles', 'Tyler Lee']","['Danielle Duke', 'Andre Flynn', 'Bradley Suarez', 'Kristine Kelley', 'Michael Walker', 'Danielle Mercado', 'Olivia Avila', 'Teresa Hill', 'Todd Mendez', 'Stephanie Thompson']"
55,"['Jeffrey Torres', 'Maria Garcia', 'Timothy Garcia', 'Jeffery Johnson', 'Tyler Campbell', 'Kelsey Burnett', 'Sean Allen', 'Mr. Marco Rowe', 'Amy Blevins', 'Pam Haynes MD', 'Brandon Patterson']","['Tammy Rivera', 'Krista Harris', 'Angela Grant', 'Terri Schroeder', 'Jaclyn Hughes', 'Rebecca Burns', 'Felicia Harrington', 'Michael Medina', 'Clarence Reed', 'Elizabeth Duffy', 'Jenna Gilbert', 'Charles Nixon']"
56,"['Ryan Mcneil', 'Shannon Williams', 'Todd Rasmussen', 'Kylie Bird', 'Frederick Baldwin', 'Marcus Sanchez', 'Alexander Jensen', 'Lisa Morgan', 'Sophia Lopez', 'Caitlin Berry', 'Edward Arellano', 'Emma Chavez', 'Charlotte Stephens', 'Anna Bright']","['David Smith', 'Allen Lewis', 'Kara Wagner', 'David Vincent', 'Allison Flores', 'Dana Smith', 'Jerome Payne', 'Zachary Barnes', 'Roger Kelley', 'Adam Clark', 'David Carpenter', 'Kelly Mcgee', 'Crystal Green', 'Danielle Holmes', 'Michael Williams']"
57,"['Jessica Nelson', 'Mrs. Jordan Green', 'Melissa French', 'Jessica Rodriguez', 'Marvin Carr']","['David Melendez', 'Charlotte Colon', 'Dan Clark', 'Mr. Chris Vargas', 'Sheena Zamora']"
58,"['Jonathan Ali', 'Kyle Mason', 'Adrienne Smith', 'Mark Tran', 'Kimberly Fletcher']","['Patricia Wilson', 'William Coleman', 'Bridget Wood', 'Jason Chandler', 'Richard Bautista', 'Paul Carr', 'Michael Wright', 'Linda Perez', 'Kelsey Kaiser', 'Rachel Harrington', 'Anthony Rivera', 'Frank Thornton', 'Linda Davis']"
59,"['Timothy Cook', 'Amanda Stewart', 'Robin Davidson', 'Christy Mathis', 'William Meyers']","['Daniel Castro', 'Jaclyn Combs', 'Ms. Kristen Nunez MD', 'Jasmine Bridges', 'Stephen Thompson', 'Pamela Coleman', 'Michelle Bailey', 'Michael Collins', 'Nicole Romero']"
60,"['Jennifer Gomez', 'Joann Salinas', 'Patricia Underwood', 'Brittany Hendricks', 'Andrew Ramsey', 'Cindy Calderon', 'Melissa Williams', 'Daniel Nguyen', 'Richard Massey', 'Steven Garcia', 'Reginald Rowe', 'Peter Brown']","['David Rogers', 'Loretta Chambers', 'Amber Ramirez', 'Jennifer Valdez', 'Steven Cruz', 'Albert Sandoval', 'Louis Brown', 'Joanne Wolf', 'Victor Irwin']"
61,"['Holly Anderson', 'Sandra Everett', 'Dr. Yolanda Nichols MD', 'Jeremiah Price', 'Andrea Davenport', 'Randy Turner']","['Julie Lam', 'Gabriel Davies', 'Dennis Marshall', 'Brian Sexton', 'Derrick Nash', 'William Parker']"
62,"['John Rangel', 'Kimberly Moreno', 'Robert Gonzales', 'Megan Johnston', 'Melissa Knapp', 'Chelsea Green PhD', 'Nicole Cohen', 'Christina Jones', 'Rebecca Parker', 'William Wise']","['April Thompson', 'Timothy Brandt', 'Joshua Gardner', 'Elizabeth Smith', 'Ronald Leonard', 'Willie Farmer', 'Keith Nichols', 'Nicholas Taylor', 'Shannon Guzman', 'Mariah Schmidt', 'Brian Roach']"
63,"['Elizabeth Henson', 'Andrea Soto', 'Christine Burke', 'Michael Bennett', 'Maria Flowers', 'Joseph Aguirre', 'Valerie Johnson', 'Emily Parker', 'Casey Klein', 'Matthew Brandt']","['Jessica Knight', 'Emily Johns', 'Matthew Young', 'Ashley Jordan', 'Kayla Thompson', 'Amber Bailey', 'Maria Pierce', 'Adam Hogan', 'William Lee', 'Bryan Cook']"
64,"['Candice Church', 'Anita Lloyd', 'John Fernandez', 'Alicia Smith', 'Nicole Scott', 'Robin Thornton', 'Ross Romero', 'Willie Herrera', 'Elizabeth Cooper', 'Amanda Mata', 'Kenneth Campbell', 'Christine Williams']","['Mindy Wells', 'Heather Medina', 'Christy Johnson', 'Brandon Gibson', 'Rickey Duncan', 'Jonathan Estrada', 'Joshua Owens', 'Vanessa Lloyd', 'Holly Martinez', 'Bill Wolfe', 'Mary Jones']"
65,"['Angela Wilson', 'Sean Rogers', 'Maria Bean', 'Michael Porter', 'Kathryn Jones', 'Jesus Carter', 'Kristin Colon', 'Carl Roberts', 'Rachel Kennedy', 'Zachary Smith', 'Wayne Wade', 'Tina Morris', 'Scott Williams', 'Anna Chan']","['Lindsey Hopkins', 'Ashley Lopez', 'Brittany Valenzuela', 'Colleen Davis', 'Nicholas Wu', 'Julia Medina', 'Bryan Bryant', 'Kevin Williams', 'Ruben Byrd', 'Danielle York', 'Jason Juarez', 'Shannon Shaw', 'Steven Snyder']"
66,"['Daryl Lara', 'Adam Moore', 'Derek Perez', 'Suzanne Brown', 'Helen Williams']","['Justin Carpenter', 'Christie Kennedy', 'Nicole Johnson', 'Cassie Blake', 'Latoya Sanders', 'Adam Odonnell', 'Mr. Bruce Spears', 'Linda Carter', 'Anne Martin', 'Madison Snyder']"
